"HomeTeam","AwayTeam","TotalGoals"
"Aston Villa","Bolton",4
"Everton","Man United",2
"Fulham","Birmingham",0
"Man City","West Brom",0
"Middlesbrough","Liverpool",0
"Portsmouth","Tottenham",2
"Sunderland","Charlton",4
"West Ham","Blackburn",4
"Arsenal","Newcastle",2
"Wigan","Chelsea",1
"Birmingham","Man City",3
"Blackburn","Fulham",3
"Charlton","Wigan",1
"Liverpool","Sunderland",1
"Man United","Aston Villa",1
"Newcastle","West Ham",0
"Tottenham","Middlesbrough",2
"West Brom","Portsmouth",3
"Bolton","Everton",1
"Chelsea","Arsenal",1
"Birmingham","Middlesbrough",3
"Portsmouth","Aston Villa",2
"Sunderland","Man City",3
"Arsenal","Fulham",5
"Blackburn","Tottenham",0
"Bolton","Newcastle",2
"Chelsea","West Brom",4
"Aston Villa","Blackburn",1
"Fulham","Everton",1
"Man City","Portsmouth",3
"Tottenham","Chelsea",2
"West Brom","Birmingham",5
"West Ham","Bolton",3
"Wigan","Sunderland",1
"Middlesbrough","Charlton",3
"Newcastle","Man United",2
"Birmingham","Charlton",1
"Chelsea","Sunderland",2
"Everton","Portsmouth",1
"Man United","Man City",2
"Middlesbrough","Arsenal",3
"Newcastle","Fulham",2
"Tottenham","Liverpool",0
"West Brom","Wigan",3
"Bolton","Blackburn",0
"West Ham","Aston Villa",4
"Aston Villa","Tottenham",2
"Charlton","Chelsea",2
"Fulham","West Ham",3
"Portsmouth","Birmingham",2
"Sunderland","West Brom",2
"Blackburn","Newcastle",3
"Liverpool","Man United",0
"Man City","Bolton",1
"Wigan","Middlesbrough",2
"Arsenal","Everton",2
"Birmingham","Liverpool",4
"Bolton","Portsmouth",1
"Chelsea","Aston Villa",3
"Everton","Wigan",1
"Man United","Blackburn",3
"Newcastle","Man City",1
"West Brom","Charlton",3
"West Ham","Arsenal",0
"Middlesbrough","Sunderland",2
"Tottenham","Fulham",1
"Blackburn","West Brom",2
"Charlton","Tottenham",5
"Fulham","Man United",5
"Portsmouth","Newcastle",0
"Sunderland","West Ham",2
"Arsenal","Birmingham",1
"Aston Villa","Middlesbrough",5
"Liverpool","Chelsea",5
"Man City","Everton",2
"Wigan","Bolton",3
"Chelsea","Bolton",6
"Liverpool","Blackburn",1
"Middlesbrough","Portsmouth",2
"Sunderland","Man United",4
"Tottenham","Everton",2
"West Brom","Arsenal",3
"Wigan","Newcastle",1
"Birmingham","Aston Villa",1
"Man City","West Ham",3
"Charlton","Fulham",2
"Arsenal","Man City",1
"Aston Villa","Wigan",2
"Blackburn","Birmingham",2
"Fulham","Liverpool",2
"Man United","Tottenham",2
"Portsmouth","Charlton",3
"Bolton","West Brom",2
"Everton","Chelsea",2
"Newcastle","Sunderland",5
"West Ham","Middlesbrough",3
"Birmingham","Everton",1
"Charlton","Bolton",1
"Chelsea","Blackburn",6
"Liverpool","West Ham",2
"Middlesbrough","Man United",5
"Sunderland","Portsmouth",5
"Tottenham","Arsenal",2
"Wigan","Fulham",1
"West Brom","Newcastle",3
"Man City","Aston Villa",4
"Arsenal","Sunderland",4
"Aston Villa","Liverpool",2
"Blackburn","Charlton",5
"Fulham","Man City",3
"Newcastle","Birmingham",1
"Portsmouth","Wigan",2
"West Ham","West Brom",1
"Everton","Middlesbrough",1
"Man United","Chelsea",1
"Bolton","Tottenham",1
"Charlton","Man United",4
"Chelsea","Newcastle",3
"Liverpool","Portsmouth",3
"Man City","Blackburn",0
"Sunderland","Aston Villa",4
"West Brom","Everton",4
"Wigan","Arsenal",5
"Middlesbrough","Fulham",5
"Tottenham","West Ham",2
"Arsenal","Blackburn",3
"Aston Villa","Charlton",1
"Man City","Liverpool",1
"Portsmouth","Chelsea",2
"Sunderland","Birmingham",1
"Wigan","Tottenham",3
"Everton","Newcastle",1
"Fulham","Bolton",3
"Middlesbrough","West Brom",4
"West Ham","Man United",3
"Sunderland","Liverpool",2
"Blackburn","Everton",2
"Bolton","Arsenal",2
"Chelsea","Middlesbrough",1
"Liverpool","Wigan",3
"Man United","Portsmouth",3
"Newcastle","Aston Villa",2
"Tottenham","Sunderland",5
"West Brom","Fulham",0
"Charlton","Man City",7
"Birmingham","West Ham",3
"Birmingham","Fulham",1
"Blackburn","West Ham",5
"Bolton","Aston Villa",2
"Charlton","Sunderland",2
"Chelsea","Wigan",1
"Liverpool","Middlesbrough",2
"Newcastle","Arsenal",1
"West Brom","Man City",2
"Man United","Everton",2
"Tottenham","Portsmouth",4
"Everton","West Ham",3
"Man United","Wigan",4
"Aston Villa","Man United",2
"Everton","Bolton",4
"Fulham","Blackburn",3
"Man City","Birmingham",5
"Portsmouth","West Brom",1
"West Ham","Newcastle",6
"Wigan","Charlton",3
"Arsenal","Chelsea",2
"Middlesbrough","Tottenham",6
"Aston Villa","Everton",4
"Charlton","Arsenal",1
"Chelsea","Fulham",5
"Liverpool","Newcastle",2
"Man United","West Brom",3
"Middlesbrough","Blackburn",2
"Portsmouth","West Ham",2
"Sunderland","Bolton",0
"Tottenham","Birmingham",2
"Wigan","Man City",7
"Arsenal","Portsmouth",4
"Birmingham","Man United",4
"Everton","Liverpool",4
"Fulham","Aston Villa",6
"Man City","Chelsea",1
"West Brom","Tottenham",2
"West Ham","Wigan",2
"Aston Villa","Arsenal",0
"Charlton","West Ham",2
"Chelsea","Birmingham",2
"Liverpool","West Brom",1
"Man United","Bolton",5
"Middlesbrough","Man City",0
"Portsmouth","Fulham",1
"Sunderland","Everton",1
"Tottenham","Newcastle",2
"Wigan","Blackburn",3
"Birmingham","Wigan",2
"Blackburn","Portsmouth",3
"Bolton","Liverpool",4
"Everton","Charlton",4
"Fulham","Sunderland",3
"Newcastle","Middlesbrough",4
"West Brom","Aston Villa",3
"West Ham","Chelsea",4
"Arsenal","Man United",0
"Man City","Tottenham",2
"Arsenal","Middlesbrough",7
"Aston Villa","West Ham",3
"Blackburn","Bolton",0
"Charlton","Birmingham",2
"Fulham","Newcastle",1
"Liverpool","Tottenham",1
"Man City","Man United",4
"Portsmouth","Everton",1
"Sunderland","Chelsea",3
"Wigan","West Brom",1
"Birmingham","Portsmouth",5
"Bolton","Man City",2
"Everton","Arsenal",1
"Middlesbrough","Wigan",5
"Newcastle","Blackburn",1
"Tottenham","Aston Villa",0
"West Brom","Sunderland",1
"Chelsea","Charlton",2
"Man United","Liverpool",1
"West Ham","Fulham",3
"Charlton","West Brom",0
"Fulham","Tottenham",1
"Sunderland","Middlesbrough",3
"Wigan","Everton",2
"Arsenal","West Ham",5
"Aston Villa","Chelsea",2
"Blackburn","Man United",7
"Liverpool","Birmingham",2
"Man City","Newcastle",3
"Portsmouth","Bolton",2
"Birmingham","Arsenal",2
"Bolton","Wigan",2
"Everton","Man City",1
"Man United","Fulham",6
"Middlesbrough","Aston Villa",4
"Newcastle","Portsmouth",2
"West Brom","Blackburn",2
"West Ham","Sunderland",2
"Chelsea","Liverpool",2
"Tottenham","Charlton",4
"Charlton","Liverpool",2
"Arsenal","Bolton",2
"Aston Villa","Newcastle",3
"Everton","Blackburn",1
"Fulham","West Brom",7
"Middlesbrough","Chelsea",3
"Portsmouth","Man United",4
"Wigan","Liverpool",1
"Man City","Charlton",5
"Sunderland","Tottenham",2
"West Ham","Birmingham",3
"Liverpool","Arsenal",1
"Blackburn","Sunderland",2
"Tottenham","Wigan",4
"Newcastle","Charlton",0
"Birmingham","Sunderland",1
"Blackburn","Arsenal",1
"Charlton","Aston Villa",0
"Chelsea","Portsmouth",2
"Newcastle","Everton",2
"Bolton","Fulham",3
"Liverpool","Man City",1
"West Brom","Middlesbrough",2
"Aston Villa","Portsmouth",1
"Fulham","Arsenal",4
"Liverpool","Charlton",0
"Middlesbrough","Birmingham",1
"Newcastle","Bolton",4
"West Brom","Chelsea",3
"West Ham","Everton",4
"Man City","Sunderland",3
"Tottenham","Blackburn",5
"Wigan","Man United",3
"Birmingham","West Brom",2
"Blackburn","Aston Villa",2
"Bolton","West Ham",5
"Chelsea","Tottenham",3
"Everton","Fulham",4
"Portsmouth","Man City",3
"Sunderland","Wigan",1
"Arsenal","Liverpool",3
"Charlton","Middlesbrough",3
"Man United","Newcastle",2
"Liverpool","Fulham",6
"Arsenal","Charlton",3
"Birmingham","Tottenham",2
"Blackburn","Middlesbrough",5
"Bolton","Sunderland",2
"Everton","Aston Villa",5
"Man City","Wigan",1
"West Brom","Man United",3
"West Ham","Portsmouth",6
"Fulham","Chelsea",1
"Newcastle","Liverpool",4
"Aston Villa","Fulham",0
"Chelsea","Man City",2
"Liverpool","Everton",4
"Sunderland","Blackburn",1
"Wigan","West Ham",3
"Charlton","Newcastle",4
"Man United","Birmingham",3
"Middlesbrough","Bolton",7
"Tottenham","West Brom",3
"Man United","West Ham",1
"Arsenal","Aston Villa",5
"Birmingham","Chelsea",0
"Bolton","Man United",3
"Everton","Sunderland",4
"Fulham","Portsmouth",4
"Newcastle","Tottenham",4
"West Brom","Liverpool",2
"Man City","Middlesbrough",1
"West Ham","Charlton",0
"Blackburn","Wigan",2
"Birmingham","Bolton",1
"Charlton","Everton",0
"Portsmouth","Blackburn",4
"Tottenham","Man City",3
"Wigan","Birmingham",2
"Aston Villa","West Brom",0
"Chelsea","West Ham",5
"Liverpool","Bolton",1
"Man United","Arsenal",2
"Middlesbrough","Newcastle",3
"Portsmouth","Arsenal",2
"Man United","Sunderland",0
"Arsenal","West Brom",4
"Bolton","Chelsea",2
"Everton","Tottenham",1
"Fulham","Charlton",3
"Newcastle","Wigan",4
"Portsmouth","Middlesbrough",1
"West Ham","Man City",1
"Aston Villa","Birmingham",4
"Blackburn","Liverpool",1
"Charlton","Portsmouth",3
"Chelsea","Everton",3
"Middlesbrough","West Ham",2
"Sunderland","Newcastle",5
"Tottenham","Man United",3
"West Brom","Bolton",0
"Wigan","Aston Villa",5
"Birmingham","Blackburn",3
"Arsenal","Tottenham",2
"Bolton","Charlton",5
"Everton","Birmingham",0
"Newcastle","West Brom",3
"Portsmouth","Sunderland",3
"Fulham","Wigan",1
"Aston Villa","Man City",1
"West Ham","Liverpool",3
"Birmingham","Newcastle",0
"Charlton","Blackburn",2
"Chelsea","Man United",3
"Liverpool","Aston Villa",4
"Man City","Fulham",3
"Middlesbrough","Everton",1
"Wigan","Portsmouth",3
"Tottenham","Bolton",1
"Man United","Middlesbrough",0
"Sunderland","Arsenal",3
"West Brom","West Ham",1
"Blackburn","Chelsea",1
"Bolton","Middlesbrough",2
"Man City","Arsenal",4
"Sunderland","Fulham",3
"Arsenal","Wigan",6
"Aston Villa","Sunderland",3
"Blackburn","Man City",2
"Bolton","Birmingham",1
"Everton","West Brom",4
"Fulham","Middlesbrough",1
"Man United","Charlton",4
"Newcastle","Chelsea",1
"Portsmouth","Liverpool",4
"West Ham","Tottenham",3
"Arsenal","Aston Villa",2
"Bolton","Tottenham",2
"Everton","Watford",3
"Newcastle","Wigan",3
"Portsmouth","Blackburn",3
"Reading","Middlesbrough",5
"Sheffield United","Liverpool",2
"West Ham","Charlton",4
"Chelsea","Man City",3
"Man United","Fulham",6
"Tottenham","Sheffield United",2
"Watford","West Ham",2
"Aston Villa","Reading",3
"Blackburn","Everton",2
"Charlton","Man United",3
"Fulham","Bolton",2
"Man City","Portsmouth",0
"Middlesbrough","Chelsea",3
"Charlton","Bolton",2
"Fulham","Sheffield United",1
"Liverpool","West Ham",3
"Man City","Arsenal",1
"Tottenham","Everton",2
"Watford","Man United",3
"Wigan","Reading",1
"Aston Villa","Newcastle",2
"Blackburn","Chelsea",2
"Middlesbrough","Portsmouth",4
"Arsenal","Middlesbrough",2
"Bolton","Watford",1
"Chelsea","Charlton",3
"Everton","Liverpool",3
"Man United","Tottenham",1
"Newcastle","Fulham",3
"Portsmouth","Wigan",1
"Sheffield United","Blackburn",0
"West Ham","Aston Villa",2
"Reading","Man City",1
"Bolton","Middlesbrough",0
"Charlton","Portsmouth",1
"Everton","Wigan",4
"Sheffield United","Reading",3
"Watford","Aston Villa",0
"Blackburn","Man City",6
"Chelsea","Liverpool",1
"Man United","Arsenal",1
"Tottenham","Fulham",0
"West Ham","Newcastle",2
"Liverpool","Newcastle",2
"Arsenal","Sheffield United",3
"Aston Villa","Charlton",2
"Fulham","Chelsea",2
"Liverpool","Tottenham",3
"Man City","West Ham",2
"Middlesbrough","Blackburn",1
"Reading","Man United",2
"Wigan","Watford",2
"Newcastle","Everton",2
"Portsmouth","Bolton",1
"Bolton","Liverpool",2
"Charlton","Arsenal",3
"Chelsea","Aston Villa",2
"Everton","Man City",2
"Sheffield United","Middlesbrough",3
"Blackburn","Wigan",3
"Man United","Newcastle",2
"Tottenham","Portsmouth",3
"West Ham","Reading",1
"Watford","Fulham",6
"Arsenal","Watford",3
"Aston Villa","Tottenham",2
"Liverpool","Blackburn",2
"Man City","Sheffield United",0
"Middlesbrough","Everton",3
"Portsmouth","West Ham",2
"Reading","Chelsea",1
"Wigan","Man United",4
"Newcastle","Bolton",3
"Fulham","Charlton",3
"Aston Villa","Fulham",2
"Charlton","Watford",0
"Chelsea","Portsmouth",3
"Everton","Sheffield United",2
"Wigan","Man City",4
"Blackburn","Bolton",1
"Man United","Liverpool",2
"Middlesbrough","Newcastle",1
"Reading","Arsenal",4
"Tottenham","West Ham",1
"Arsenal","Everton",2
"Bolton","Man United",4
"Fulham","Wigan",1
"Liverpool","Aston Villa",4
"Newcastle","Charlton",0
"Portsmouth","Reading",4
"Sheffield United","Chelsea",2
"Watford","Tottenham",0
"West Ham","Blackburn",3
"Man City","Middlesbrough",1
"Bolton","Wigan",1
"Charlton","Man City",1
"Fulham","Everton",1
"Liverpool","Reading",2
"Man United","Portsmouth",3
"Newcastle","Sheffield United",1
"Watford","Middlesbrough",2
"Aston Villa","Blackburn",2
"Tottenham","Chelsea",3
"West Ham","Arsenal",1
"Blackburn","Man United",1
"Chelsea","Watford",4
"Everton","Aston Villa",1
"Man City","Newcastle",0
"Middlesbrough","West Ham",1
"Portsmouth","Fulham",2
"Sheffield United","Bolton",4
"Wigan","Charlton",5
"Arsenal","Liverpool",3
"Reading","Tottenham",4
"Arsenal","Newcastle",2
"Chelsea","West Ham",1
"Everton","Bolton",1
"Man City","Fulham",4
"Middlesbrough","Liverpool",0
"Portsmouth","Watford",3
"Reading","Charlton",2
"Sheffield United","Man United",3
"Blackburn","Tottenham",2
"Wigan","Aston Villa",0
"Aston Villa","Middlesbrough",2
"Bolton","Arsenal",4
"Charlton","Everton",2
"Fulham","Reading",1
"Liverpool","Man City",1
"West Ham","Sheffield United",1
"Man United","Chelsea",2
"Newcastle","Portsmouth",1
"Tottenham","Wigan",4
"Watford","Sheffield United",1
"Aston Villa","Man City",4
"Bolton","Chelsea",1
"Fulham","Arsenal",3
"Liverpool","Portsmouth",0
"Man United","Everton",3
"Arsenal","Tottenham",3
"Blackburn","Fulham",2
"Middlesbrough","Man United",3
"Portsmouth","Aston Villa",4
"Reading","Bolton",1
"Sheffield United","Charlton",3
"Wigan","Liverpool",4
"Everton","West Ham",2
"Man City","Watford",0
"Charlton","Blackburn",1
"Tottenham","Middlesbrough",3
"Newcastle","Reading",5
"West Ham","Wigan",2
"Blackburn","Newcastle",4
"Bolton","West Ham",4
"Liverpool","Fulham",4
"Man United","Man City",4
"Middlesbrough","Wigan",2
"Portsmouth","Everton",2
"Tottenham","Charlton",6
"Watford","Reading",0
"Chelsea","Arsenal",2
"Sheffield United","Aston Villa",4
"Chelsea","Newcastle",1
"Wigan","Arsenal",1
"Arsenal","Portsmouth",4
"Aston Villa","Bolton",1
"Charlton","Liverpool",3
"Newcastle","Watford",3
"Reading","Blackburn",3
"Wigan","Sheffield United",1
"Everton","Chelsea",5
"Man City","Tottenham",3
"West Ham","Man United",1
"Fulham","Middlesbrough",3
"Arsenal","Blackburn",8
"Aston Villa","Man United",3
"Fulham","West Ham",0
"Liverpool","Watford",2
"Man City","Bolton",2
"Middlesbrough","Charlton",2
