Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG
19/08/06,Arsenal,Aston Villa,1,1,0,0
19/08/06,Bolton,Tottenham,2,0,2,0
19/08/06,Everton,Watford,2,1,1,0
19/08/06,Newcastle,Wigan,2,1,1,0
19/08/06,Portsmouth,Blackburn,3,0,1,0
19/08/06,Reading,Middlesbrough,3,2,2,2
19/08/06,Sheffield United,Liverpool,1,1,0,0
19/08/06,West Ham,Charlton,3,1,0,1
20/08/06,Chelsea,Man City,3,0,2,0
20/08/06,Man United,Fulham,5,1,4,1
22/08/06,Tottenham,Sheffield United,2,0,2,0
22/08/06,Watford,West Ham,1,1,0,0
23/08/06,Aston Villa,Reading,2,1,1,1
23/08/06,Blackburn,Everton,1,1,0,0
23/08/06,Charlton,Man United,0,3,0,0
23/08/06,Fulham,Bolton,1,1,0,0
23/08/06,Man City,Portsmouth,0,0,0,0
23/08/06,Middlesbrough,Chelsea,2,1,0,1
26/08/06,Charlton,Bolton,2,0,0,0
26/08/06,Fulham,Sheffield United,1,0,1,0
26/08/06,Liverpool,West Ham,2,1,2,1
26/08/06,Man City,Arsenal,1,0,1,0
26/08/06,Tottenham,Everton,0,2,0,0
26/08/06,Watford,Man United,1,2,1,1
26/08/06,Wigan,Reading,1,0,1,0
27/08/06,Aston Villa,Newcastle,2,0,2,0
27/08/06,Blackburn,Chelsea,0,2,0,0
28/08/06,Middlesbrough,Portsmouth,0,4,0,1
9/9/2006,Arsenal,Middlesbrough,1,1,0,1
9/9/2006,Bolton,Watford,1,0,0,0
9/9/2006,Chelsea,Charlton,2,1,1,0
9/9/2006,Everton,Liverpool,3,0,2,0
9/9/2006,Man United,Tottenham,1,0,1,0
9/9/2006,Newcastle,Fulham,1,2,0,0
9/9/2006,Portsmouth,Wigan,1,0,0,0
9/9/2006,Sheffield United,Blackburn,0,0,0,0
10/9/2006,West Ham,Aston Villa,1,1,0,1
11/9/2006,Reading,Man City,1,0,1,0
16/09/06,Bolton,Middlesbrough,0,0,0,0
16/09/06,Charlton,Portsmouth,0,1,0,0
16/09/06,Everton,Wigan,2,2,0,0
16/09/06,Sheffield United,Reading,1,2,0,2
16/09/06,Watford,Aston Villa,0,0,0,0
17/09/06,Blackburn,Man City,4,2,2,2
17/09/06,Chelsea,Liverpool,1,0,1,0
17/09/06,Man United,Arsenal,0,1,0,0
17/09/06,Tottenham,Fulham,0,0,0,0
17/09/06,West Ham,Newcastle,0,2,0,0
20/09/06,Liverpool,Newcastle,2,0,1,0
23/09/06,Arsenal,Sheffield United,3,0,0,0
23/09/06,Aston Villa,Charlton,2,0,1,0
23/09/06,Fulham,Chelsea,0,2,0,0
23/09/06,Liverpool,Tottenham,3,0,0,0
23/09/06,Man City,West Ham,2,0,0,0
23/09/06,Middlesbrough,Blackburn,0,1,0,1
23/09/06,Reading,Man United,1,1,0,0
23/09/06,Wigan,Watford,1,1,1,0
24/09/06,Newcastle,Everton,1,1,1,1
25/09/06,Portsmouth,Bolton,0,1,0,1
30/09/06,Bolton,Liverpool,2,0,1,0
30/09/06,Charlton,Arsenal,1,2,1,1
30/09/06,Chelsea,Aston Villa,1,1,1,1
30/09/06,Everton,Man City,1,1,1,0
30/09/06,Sheffield United,Middlesbrough,2,1,1,0
1/10/2006,Blackburn,Wigan,2,1,1,1
1/10/2006,Man United,Newcastle,2,0,1,0
1/10/2006,Tottenham,Portsmouth,2,1,2,1
1/10/2006,West Ham,Reading,0,1,0,1
2/10/2006,Watford,Fulham,3,3,1,0
14/10/06,Arsenal,Watford,3,0,2,0
14/10/06,Aston Villa,Tottenham,1,1,0,0
14/10/06,Liverpool,Blackburn,1,1,0,1
14/10/06,Man City,Sheffield United,0,0,0,0
14/10/06,Middlesbrough,Everton,2,1,1,0
14/10/06,Portsmouth,West Ham,2,0,1,0
14/10/06,Reading,Chelsea,0,1,0,1
14/10/06,Wigan,Man United,1,3,1,0
15/10/06,Newcastle,Bolton,1,2,1,0
16/10/06,Fulham,Charlton,2,1,0,0
21/10/06,Aston Villa,Fulham,1,1,1,1
21/10/06,Charlton,Watford,0,0,0,0
21/10/06,Chelsea,Portsmouth,2,1,0,0
21/10/06,Everton,Sheffield United,2,0,2,0
21/10/06,Wigan,Man City,4,0,2,0
22/10/06,Blackburn,Bolton,0,1,0,0
22/10/06,Man United,Liverpool,2,0,1,0
22/10/06,Middlesbrough,Newcastle,1,0,0,0
22/10/06,Reading,Arsenal,0,4,0,2
22/10/06,Tottenham,West Ham,1,0,1,0
28/10/06,Arsenal,Everton,1,1,0,1
28/10/06,Bolton,Man United,0,4,0,2
28/10/06,Fulham,Wigan,0,1,0,0
28/10/06,Liverpool,Aston Villa,3,1,3,0
28/10/06,Newcastle,Charlton,0,0,0,0
28/10/06,Portsmouth,Reading,3,1,1,0
28/10/06,Sheffield United,Chelsea,0,2,0,1
28/10/06,Watford,Tottenham,0,0,0,0
29/10/06,West Ham,Blackburn,2,1,1,0
30/10/06,Man City,Middlesbrough,1,0,1,0
4/11/2006,Bolton,Wigan,0,1,0,0
4/11/2006,Charlton,Man City,1,0,1,0
4/11/2006,Fulham,Everton,1,0,0,0
4/11/2006,Liverpool,Reading,2,0,1,0
4/11/2006,Man United,Portsmouth,3,0,2,0
4/11/2006,Newcastle,Sheffield United,0,1,0,0
4/11/2006,Watford,Middlesbrough,2,0,1,0
5/11/2006,Aston Villa,Blackburn,2,0,1,0
5/11/2006,Tottenham,Chelsea,2,1,1,1
5/11/2006,West Ham,Arsenal,1,0,0,0
11/11/2006,Blackburn,Man United,0,1,0,0
11/11/2006,Chelsea,Watford,4,0,2,0
11/11/2006,Everton,Aston Villa,0,1,0,1
11/11/2006,Man City,Newcastle,0,0,0,0
11/11/2006,Middlesbrough,West Ham,1,0,0,0
11/11/2006,Portsmouth,Fulham,1,1,0,0
11/11/2006,Sheffield United,Bolton,2,2,0,1
11/11/2006,Wigan,Charlton,3,2,2,0
12/11/2006,Arsenal,Liverpool,3,0,1,0
12/11/2006,Reading,Tottenham,3,1,2,1
18/11/06,Arsenal,Newcastle,1,1,0,1
18/11/06,Chelsea,West Ham,1,0,1,0
18/11/06,Everton,Bolton,1,0,0,0
18/11/06,Man City,Fulham,3,1,3,0
18/11/06,Middlesbrough,Liverpool,0,0,0,0
18/11/06,Portsmouth,Watford,2,1,1,1
18/11/06,Reading,Charlton,2,0,1,0
18/11/06,Sheffield United,Man United,1,2,1,1
19/11/06,Blackburn,Tottenham,1,1,1,0
19/11/06,Wigan,Aston Villa,0,0,0,0
25/11/06,Aston Villa,Middlesbrough,1,1,1,1
25/11/06,Bolton,Arsenal,3,1,2,1
25/11/06,Charlton,Everton,1,1,0,0
25/11/06,Fulham,Reading,0,1,0,1
25/11/06,Liverpool,Man City,1,0,0,0
25/11/06,West Ham,Sheffield United,1,0,1,0
26/11/06,Man United,Chelsea,1,1,1,0
26/11/06,Newcastle,Portsmouth,1,0,0,0
26/11/06,Tottenham,Wigan,3,1,2,1
28/11/06,Watford,Sheffield United,0,1,0,0
29/11/06,Aston Villa,Man City,1,3,0,2
29/11/06,Bolton,Chelsea,0,1,0,1
29/11/06,Fulham,Arsenal,2,1,2,1
29/11/06,Liverpool,Portsmouth,0,0,0,0
29/11/06,Man United,Everton,3,0,1,0
2/12/2006,Arsenal,Tottenham,3,0,2,0
2/12/2006,Blackburn,Fulham,2,0,2,0
2/12/2006,Middlesbrough,Man United,1,2,0,1
2/12/2006,Portsmouth,Aston Villa,2,2,0,1
2/12/2006,Reading,Bolton,1,0,1,0
2/12/2006,Sheffield United,Charlton,2,1,0,1
2/12/2006,Wigan,Liverpool,0,4,0,4
3/12/2006,Everton,West Ham,2,0,0,0
4/12/2006,Man City,Watford,0,0,0,0
5/12/2006,Charlton,Blackburn,1,0,0,0
5/12/2006,Tottenham,Middlesbrough,2,1,0,0
6/12/2006,Newcastle,Reading,3,2,1,2
6/12/2006,West Ham,Wigan,0,2,0,0
9/12/2006,Blackburn,Newcastle,1,3,0,2
9/12/2006,Bolton,West Ham,4,0,1,0
9/12/2006,Liverpool,Fulham,4,0,0,0
9/12/2006,Man United,Man City,3,1,2,0
9/12/2006,Middlesbrough,Wigan,1,1,0,1
9/12/2006,Portsmouth,Everton,2,0,2,0
9/12/2006,Tottenham,Charlton,5,1,2,1
9/12/2006,Watford,Reading,0,0,0,0
10/12/2006,Chelsea,Arsenal,1,1,0,0
11/12/2006,Sheffield United,Aston Villa,2,2,0,1
13/12/06,Chelsea,Newcastle,1,0,0,0
13/12/06,Wigan,Arsenal,0,1,0,0
16/12/06,Arsenal,Portsmouth,2,2,0,1
16/12/06,Aston Villa,Bolton,0,1,0,0
16/12/06,Charlton,Liverpool,0,3,0,1
16/12/06,Newcastle,Watford,2,1,0,0
16/12/06,Reading,Blackburn,1,2,1,0
16/12/06,Wigan,Sheffield United,0,1,0,1
17/12/06,Everton,Chelsea,2,3,1,0
17/12/06,Man City,Tottenham,1,2,0,2
17/12/06,West Ham,Man United,1,0,0,0
18/12/06,Fulham,Middlesbrough,2,1,2,0
23/12/06,Arsenal,Blackburn,6,2,3,1
23/12/06,Aston Villa,Man United,0,3,0,0
23/12/06,Fulham,West Ham,0,0,0,0
23/12/06,Liverpool,Watford,2,0,0,0
23/12/06,Man City,Bolton,0,2,0,2
23/12/06,Middlesbrough,Charlton,2,0,1,0
23/12/06,Newcastle,Tottenham,3,1,3,1
23/12/06,Portsmouth,Sheffield United,3,1,0,1
23/12/06,Reading,Everton,0,2,0,1
23/12/06,Wigan,Chelsea,2,3,1,2
26/12/06,Blackburn,Liverpool,1,0,0,0
26/12/06,Bolton,Newcastle,2,1,1,1
26/12/06,Chelsea,Reading,2,2,1,0
26/12/06,Everton,Middlesbrough,0,0,0,0
26/12/06,Man United,Wigan,3,1,0,0
26/12/06,Sheffield United,Man City,0,1,0,0
26/12/06,Tottenham,Aston Villa,2,1,0,0
26/12/06,Watford,Arsenal,1,2,1,1
26/12/06,West Ham,Portsmouth,1,2,0,2
27/12/06,Charlton,Fulham,2,2,2,1
30/12/06,Blackburn,Middlesbrough,2,1,1,0
30/12/06,Bolton,Portsmouth,3,2,2,1
30/12/06,Charlton,Aston Villa,2,1,0,1
30/12/06,Chelsea,Fulham,2,2,1,1
30/12/06,Everton,Newcastle,3,0,1,0
30/12/06,Man United,Reading,3,2,1,1
30/12/06,Sheffield United,Arsenal,1,0,1,0
30/12/06,Tottenham,Liverpool,0,1,0,1
30/12/06,West Ham,Man City,0,1,0,0
1/1/2007,Fulham,Watford,0,0,0,0
1/1/2007,Liverpool,Bolton,3,0,0,0
1/1/2007,Man City,Everton,2,1,0,0
1/1/2007,Middlesbrough,Sheffield United,3,1,1,1
1/1/2007,Newcastle,Man United,2,2,1,1
1/1/2007,Portsmouth,Tottenham,1,1,1,0
1/1/2007,Reading,West Ham,6,0,4,0
1/1/2007,Wigan,Blackburn,0,3,0,1
2/1/2007,Arsenal,Charlton,4,0,2,0
2/1/2007,Aston Villa,Chelsea,0,0,0,0
13/01/07,Blackburn,Arsenal,0,2,0,1
13/01/07,Bolton,Man City,0,0,0,0
13/01/07,Charlton,Middlesbrough,1,3,1,1
13/01/07,Chelsea,Wigan,4,0,1,0
13/01/07,Man United,Aston Villa,3,1,3,0
13/01/07,Sheffield United,Portsmouth,1,1,1,0
13/01/07,Watford,Liverpool,0,3,0,2
13/01/07,West Ham,Fulham,3,3,1,1
14/01/07,Everton,Reading,1,1,0,1
14/01/07,Tottenham,Newcastle,2,3,1,1
20/01/07,Aston Villa,Watford,2,0,0,0
20/01/07,Fulham,Tottenham,1,1,0,0
20/01/07,Liverpool,Chelsea,2,0,2,0
20/01/07,Man City,Blackburn,0,3,0,1
20/01/07,Middlesbrough,Bolton,5,1,4,1
20/01/07,Newcastle,West Ham,2,2,1,2
20/01/07,Portsmouth,Charlton,0,1,0,0
20/01/07,Reading,Sheffield United,3,1,1,0
21/01/07,Arsenal,Man United,2,1,0,0
21/01/07,Wigan,Everton,0,2,0,0
23/01/07,Watford,Blackburn,2,1,1,1
30/01/07,Portsmouth,Middlesbrough,0,0,0,0
30/01/07,Reading,Wigan,3,2,1,1
30/01/07,Sheffield United,Fulham,2,0,2,0
30/01/07,West Ham,Liverpool,1,2,0,0
31/01/07,Bolton,Charlton,1,1,1,1
31/01/07,Chelsea,Blackburn,3,0,1,0
31/01/07,Man United,Watford,4,0,1,0
31/01/07,Newcastle,Aston Villa,3,1,2,1
3/2/2007,Aston Villa,West Ham,1,0,1,0
3/2/2007,Blackburn,Sheffield United,2,1,1,1
3/2/2007,Charlton,Chelsea,0,1,0,1
3/2/2007,Fulham,Newcastle,2,1,0,0
3/2/2007,Liverpool,Everton,0,0,0,0
3/2/2007,Man City,Reading,0,2,0,0
3/2/2007,Middlesbrough,Arsenal,1,1,0,0
3/2/2007,Watford,Bolton,0,1,0,0
3/2/2007,Wigan,Portsmouth,1,0,0,0
4/2/2007,Tottenham,Man United,0,4,0,1
10/2/2007,Chelsea,Middlesbrough,3,0,1,0
10/2/2007,Everton,Blackburn,1,0,1,0
10/2/2007,Man United,Charlton,2,0,1,0
10/2/2007,Newcastle,Liverpool,2,1,1,1
10/2/2007,Portsmouth,Man City,2,1,1,0
10/2/2007,Reading,Aston Villa,2,0,1,0
10/2/2007,Sheffield United,Tottenham,2,1,1,1
10/2/2007,West Ham,Watford,0,1,0,1
11/2/2007,Arsenal,Wigan,2,1,0,1
11/2/2007,Bolton,Fulham,2,1,1,0
21/02/07,Everton,Tottenham,1,2,1,1
21/02/07,Watford,Wigan,1,1,1,1
24/02/07,Charlton,West Ham,4,0,3,0
24/02/07,Fulham,Man United,1,2,1,1
24/02/07,Liverpool,Sheffield United,4,0,2,0
24/02/07,Middlesbrough,Reading,2,1,1,0
24/02/07,Watford,Everton,0,3,0,2
25/02/07,Blackburn,Portsmouth,3,0,2,0
25/02/07,Tottenham,Bolton,4,1,3,1
25/02/07,Wigan,Newcastle,1,0,1,0
3/3/2007,Arsenal,Reading,2,1,0,0
3/3/2007,Fulham,Aston Villa,1,1,1,1
3/3/2007,Liverpool,Man United,0,1,0,0
3/3/2007,Man City,Wigan,0,1,0,1
3/3/2007,Newcastle,Middlesbrough,0,0,0,0
3/3/2007,Portsmouth,Chelsea,0,2,0,1
3/3/2007,Sheffield United,Everton,1,1,0,0
3/3/2007,Watford,Charlton,2,2,2,0
4/3/2007,Bolton,Blackburn,1,2,0,0
4/3/2007,West Ham,Tottenham,3,4,2,0
14/03/07,Aston Villa,Arsenal,0,1,0,1
14/03/07,Man City,Chelsea,0,1,0,1
17/03/07,Blackburn,West Ham,1,2,0,0
17/03/07,Chelsea,Sheffield United,3,0,2,0
17/03/07,Man United,Bolton,4,1,3,0
17/03/07,Middlesbrough,Man City,0,2,0,0
17/03/07,Reading,Portsmouth,0,0,0,0
17/03/07,Tottenham,Watford,3,1,1,0
17/03/07,Wigan,Fulham,0,0,0,0
18/03/07,Aston Villa,Liverpool,0,0,0,0
18/03/07,Charlton,Newcastle,2,0,0,0
18/03/07,Everton,Arsenal,1,0,0,0
31/03/07,Bolton,Sheffield United,1,0,0,0
31/03/07,Charlton,Wigan,1,0,0,0
31/03/07,Fulham,Portsmouth,1,1,0,1
31/03/07,Liverpool,Arsenal,4,1,2,0
31/03/07,Man United,Blackburn,4,1,0,1
31/03/07,Newcastle,Man City,0,1,0,0
31/03/07,Watford,Chelsea,0,1,0,0
31/03/07,West Ham,Middlesbrough,2,0,2,0
1/4/2007,Tottenham,Reading,1,0,1,0
2/4/2007,Aston Villa,Everton,1,1,0,1
6/4/2007,Everton,Fulham,4,1,3,1
6/4/2007,Man City,Charlton,0,0,0,0
7/4/2007,Arsenal,West Ham,0,1,0,1
7/4/2007,Blackburn,Aston Villa,1,2,1,1
7/4/2007,Chelsea,Tottenham,1,0,0,0
7/4/2007,Middlesbrough,Watford,4,1,2,1
7/4/2007,Portsmouth,Man United,2,1,1,0
7/4/2007,Reading,Liverpool,1,2,0,1
7/4/2007,Sheffield United,Newcastle,1,2,0,1
7/4/2007,Wigan,Bolton,1,3,1,1
9/4/2007,Aston Villa,Wigan,1,1,0,1
9/4/2007,Bolton,Everton,1,1,1,1
9/4/2007,Charlton,Reading,0,0,0,0
9/4/2007,Fulham,Man City,1,3,0,2
9/4/2007,Newcastle,Arsenal,0,0,0,0
9/4/2007,Watford,Portsmouth,4,2,2,1
14/04/07,Arsenal,Bolton,2,1,1,1
14/04/07,Man City,Liverpool,0,0,0,0
14/04/07,Middlesbrough,Aston Villa,1,3,1,1
14/04/07,Portsmouth,Newcastle,2,1,1,0
14/04/07,Reading,Fulham,1,0,1,0
14/04/07,Sheffield United,West Ham,3,0,1,0
15/04/07,Everton,Charlton,2,1,0,0
15/04/07,Wigan,Tottenham,3,3,2,2
17/04/07,Arsenal,Man City,3,1,1,1
17/04/07,Man United,Sheffield United,2,0,1,0
18/04/07,Blackburn,Watford,3,1,3,1
18/04/07,Liverpool,Middlesbrough,2,0,0,0
18/04/07,West Ham,Chelsea,1,4,1,2
21/04/07,Bolton,Reading,1,3,0,0
21/04/07,Charlton,Sheffield United,1,1,0,0
21/04/07,Fulham,Blackburn,1,1,1,0
21/04/07,Liverpool,Wigan,2,0,1,0
21/04/07,Man United,Middlesbrough,1,1,1,1
21/04/07,Tottenham,Arsenal,2,2,1,0
21/04/07,Watford,Man City,1,1,0,0
21/04/07,West Ham,Everton,1,0,1,0
22/04/07,Aston Villa,Portsmouth,0,0,0,0
22/04/07,Newcastle,Chelsea,0,0,0,0
28/04/07,Blackburn,Charlton,4,1,0,0
28/04/07,Chelsea,Bolton,2,2,2,1
28/04/07,Everton,Man United,2,4,1,0
28/04/07,Man City,Aston Villa,0,2,0,1
28/04/07,Middlesbrough,Tottenham,2,3,0,1
28/04/07,Portsmouth,Liverpool,2,1,2,0
28/04/07,Sheffield United,Watford,1,0,1,0
28/04/07,Wigan,West Ham,0,3,0,1
29/04/07,Arsenal,Fulham,3,1,1,0
30/04/07,Reading,Newcastle,1,0,0,0
5/5/2007,Aston Villa,Sheffield United,3,0,2,0
5/5/2007,Everton,Portsmouth,3,0,0,0
5/5/2007,Fulham,Liverpool,1,0,0,0
5/5/2007,Man City,Man United,0,1,0,1
5/5/2007,Newcastle,Blackburn,0,2,0,1
5/5/2007,Reading,Watford,0,2,0,0
5/5/2007,West Ham,Bolton,3,1,3,0
5/5/2007,Wigan,Middlesbrough,0,1,0,1
6/5/2007,Arsenal,Chelsea,1,1,1,0
7/5/2007,Charlton,Tottenham,0,2,0,1
9/5/2007,Chelsea,Man United,0,0,0,0
10/5/2007,Tottenham,Blackburn,1,1,0,1
13/05/07,Blackburn,Reading,3,3,1,1
13/05/07,Bolton,Aston Villa,2,2,1,1
13/05/07,Chelsea,Everton,1,1,0,0
13/05/07,Liverpool,Charlton,2,2,0,1
13/05/07,Man United,West Ham,0,1,0,1
13/05/07,Middlesbrough,Fulham,3,1,2,1
13/05/07,Portsmouth,Arsenal,0,0,0,0
13/05/07,Sheffield United,Wigan,1,2,1,2
13/05/07,Tottenham,Man City,2,1,2,1
13/05/07,Watford,Newcastle,1,1,0,1
